Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,138.000000,139.500000,138.000000,139.500000,139.500000,631240
2020-01-03,138.000000,140.899994,137.130005,140.899994,140.899994,401120
2020-01-06,139.000000,139.660004,137.000000,139.100006,139.100006,418470
2020-01-07,139.500000,139.710007,138.179993,139.399994,139.399994,160520
2020-01-08,139.410004,139.789993,137.699997,138.199997,138.199997,555410
2020-01-09,138.720001,139.589996,138.490005,138.800003,138.800003,1060820
2020-01-10,139.990005,140.910004,138.949997,139.399994,139.399994,1023080
2020-01-13,139.809998,141.899994,139.809998,141.899994,141.899994,564260
2020-01-14,141.770004,143.199997,141.169998,143.199997,143.199997,272920
2020-01-15,143.500000,143.679993,142.110001,142.500000,142.500000,407970
2020-01-16,143.000000,144.000000,142.020004,142.500000,142.500000,246480
2020-01-17,143.649994,144.000000,142.350006,143.399994,143.399994,337350
2020-01-20,143.399994,145.720001,143.009995,145.720001,145.720001,596640
2020-01-21,145.000000,145.720001,144.029999,144.029999,144.029999,1151150
2020-01-22,145.770004,146.289993,144.380005,146.289993,146.289993,2858830
2020-01-23,145.449997,147.300003,144.000000,146.699997,146.699997,765560
2020-01-24,146.899994,147.669998,145.149994,145.149994,145.149994,239740
2020-01-27,142.389999,142.899994,140.009995,140.470001,140.470001,1029800
2020-01-28,141.199997,143.649994,141.199997,142.600006,142.600006,1155190
2020-01-29,143.449997,144.350006,141.029999,141.369995,141.369995,773420
2020-01-30,139.600006,139.789993,136.119995,138.910004,138.910004,1099300
2020-01-31,137.770004,138.990005,136.550003,136.910004,136.910004,350950
2020-02-03,136.899994,140.330002,136.610001,139.589996,139.589996,727100
2020-02-04,141.839996,144.490005,141.220001,141.429993,141.429993,705810
2020-02-05,143.000000,143.639999,141.710007,141.899994,141.899994,487520
2020-02-06,142.800003,143.470001,139.309998,139.399994,139.399994,496850
2020-02-07,137.300003,139.399994,135.899994,135.899994,135.899994,648070
2020-02-10,135.699997,136.860001,131.789993,132.199997,132.199997,2403760
2020-02-11,133.949997,136.839996,133.440002,136.119995,136.119995,1104490
2020-02-12,137.000000,139.320007,136.800003,138.100006,138.100006,995050
2020-02-13,136.399994,138.309998,135.509995,138.149994,138.149994,404510
2020-02-14,138.100006,139.449997,136.759995,137.500000,137.500000,679760
2020-02-17,138.619995,139.029999,137.429993,138.949997,138.949997,437380
2020-02-18,138.000000,139.410004,137.470001,138.800003,138.800003,209710
2020-02-19,139.300003,141.889999,138.850006,141.000000,141.000000,484840
2020-02-20,141.380005,141.850006,139.279999,139.550003,139.550003,1675770
2020-02-21,139.380005,139.380005,137.570007,139.289993,139.289993,750420
2020-02-26,132.899994,132.899994,128.250000,129.110001,129.110001,1706070
2020-02-27,128.990005,130.110001,124.220001,125.070000,125.070000,3002460
2020-02-28,124.000000,125.900002,119.910004,125.900002,125.900002,1846130
2020-03-02,125.900002,130.979996,125.900002,130.000000,130.000000,1074660
2020-03-03,130.899994,133.720001,128.000000,128.910004,128.910004,759500
2020-03-04,131.509995,132.949997,129.550003,131.820007,131.820007,2111520
2020-03-05,130.000000,130.869995,122.059998,124.250000,124.250000,756020
2020-03-06,119.800003,120.379997,116.760002,119.220001,119.220001,2030590
2020-03-09,106.849998,109.790001,102.019997,103.769997,103.769997,2661360
2020-03-10,110.540001,112.820000,106.500000,110.500000,110.500000,1251490
2020-03-11,108.000000,110.650002,97.510002,102.500000,102.500000,977300
2020-03-12,88.000000,94.000000,85.000000,87.400002,87.400002,1784070
2020-03-13,104.010002,105.000000,85.500000,97.500000,97.500000,2139690
2020-03-16,83.489998,89.559998,80.500000,80.500000,80.500000,749260
2020-03-17,86.010002,87.959999,82.010002,85.699997,85.699997,1169240
2020-03-18,75.330002,79.989998,67.919998,72.800003,72.800003,1189310
2020-03-19,68.300003,79.000000,64.599998,75.989998,75.989998,1320540
2020-03-20,81.000000,82.440002,74.489998,75.900002,75.900002,1267270
2020-03-23,74.500000,74.500000,69.849998,71.800003,71.800003,532200
2020-03-24,76.570000,78.709999,75.180000,75.949997,75.949997,1342620
